,count
42427371,20188
42427369,11807
42454378,12277
42429657,14383
42448811,6863
42438886,7337
42459098,6120
42440456,8821
42452875,17687
42436703,13158
42456611,11466
42448338,10883
42443613,10460
42432834,12409
596775935,9961
42432825,14517
42445947,10094
596775941,6471
42430903,15725
42454994,15268
13205862066,9056
42449886,14093
42453104,14359
42446528,22813
42436939,18487
42440721,21274
42428493,25794
42438784,13426
42440710,18596
42431654,3850
42445247,14093
42428037,4043
42444960,12799
7037071175,5103
1533280147,3700
9421943093,1415
42430646,4087
42445953,12017
42436511,12018
42445961,10693
42429971,10853
42431650,10729
42445972,13253
42445976,12948
42437425,12054
42431674,11559
42454006,933
1733612450,1029
3270031028,144
5165632724,137
596799866,554
42438802,6661
42438800,11981
42438798,3534
42438795,9305
596776063,4733
42422026,1716
246858433,7495
246858431,7110
5815234915,3200
588593611,3282
246909454,2788
588593353,2854
587987721,2488
246858654,2423
4207802391,2248
1772136801,2069
1772136810,1912
3914862593,1873
588546891,3175
596776120,4796
596776074,4055
596776127,4066
596776095,4240
596776083,4882
596776089,7165
42459137,10180
42447105,7097
42436917,4176
42428016,5113
42428303,4743
42445020,11846
42452365,9254
42445011,11317
5812723033,946
42449600,3589
42449597,3843
42431611,4756
42445356,5087
42430550,4654
4754091366,319
42428405,4623
42454423,5780
42436784,4979
42439530,6416
42439335,5152
42430164,10897
42430167,8600
13082559909,8606
3891963915,8676
4321748238,12441
4321748237,10162
5854302557,8806
42430187,16192
42430205,10779
42430217,19938
42430231,22994
42430233,22349
42430235,23794
42430237,31157
42421889,16240
42430241,13603
42430247,12156
42430249,12613
42429374,14289
42429375,21957
42435687,18453
42445025,8462
42454042,7812
42430298,16996
42430308,21534
42430317,20565
42430320,20540
42430324,29151
42430329,19737
561042193,5285
42458333,18991
42449683,19323
42453986,20871
42445653,20195
561042197,12494
561042199,5272
42422028,4945
42453395,5567
42437686,20356
42427786,21355
42438544,21718
42434800,22020
42453624,11138
449581627,9572
42428206,9935
42437881,14456
42434268,12462
42443671,11931
42439272,13407
42449333,7893
42431490,7668
42429373,10931
42431678,3135
42431680,11018
42449991,10931
42429690,11623
42429693,5425
42445232,5019
42429688,3493
42447076,2845
42437433,3182
42447069,3596
42447060,5030
42429976,4297
42447030,4160
42436516,6539
42447020,6700
42447009,6118
42447007,4262
42432847,5910
42443614,3772
4862610026,3994
42446998,4267
42432585,24626
42454428,12104
42436359,3090
42436364,5119
42436369,5031
42436371,12125
42436109,10659
42448568,12353
12162502083,20591
9607729579,14876
42453442,13754
591454081,13765
42452008,14208
42436903,14678
42453457,14602
42452613,14691
42453468,14692
42449098,14730
42440946,14678
42453472,13325
42439099,13436
246649429,16374
11027819091,15580
42445769,18754
246580982,18967
42439295,20047
11027912164,20224
4872623863,19860
42427393,21029
42443677,20972
246579597,20875
12161232243,23131
42427494,22628
42445314,22610
42434827,22821
42438684,22721
12161224637,23889
42437699,24016
42437678,26216
7073877295,25803
6575692624,25794
42448996,26322
42453545,25800
62915549,26368
62915525,25504
62915509,25527
62915527,29345
11017187937,29603
62915531,30725
12154598283,30737
11017187936,30668
62915536,31545
11017186437,31397
12153915856,32582
11017186435,32224
9140954071,31994
13099951760,31615
61275380,34322
61273004,33078
61271722,34094
61269797,34729
42423070,34731
42422399,29132
42458435,29133
587812578,14724
42431099,15888
42431102,11229
42431104,9866
42428720,7727
1061531727,7022
1061531730,6905
1061531596,7401
42442552,8808
42442555,6217
42442557,5377
42442559,5326
42442561,5394
42437918,5366
42421741,5510
42432756,4877
42442565,4684
42442567,4396
42445926,18109
42438881,19290
42445928,18844
42440453,18330
42445930,23161
42436701,13961
42445936,11855
42445941,11298
42443612,10630
42445236,12408
42439561,15288
42430063,14473
42450009,14205
42443388,4249
42443381,4177
42443373,2379
42436985,3207
42443366,2627
42443363,2391
4016646206,2480
42437050,3346
42421996,2668
42438043,2693
42434158,2739
42443353,6424
42439990,27758
42438788,4604
42436751,10189
42446270,10238
42446932,9987
42429890,9610
2302133933,8272
42442850,8554
1773121034,20045
4015190382,20232
42439249,18263
42445558,14117
595407648,12419
42430872,20062
42431452,17681
42437018,17848
42437021,21033
42437280,19912
42456543,19680
42439203,21299
12181309686,21314
42440323,21799
42446466,4889
42446461,7037
42436914,6553
42438490,6598
42452954,6251
42439395,6120
42448216,6151
42435504,6813
42458766,6066
42429330,11318
596776164,9840
3786901738,20491
42434951,17283
42436700,9892
42430367,11684
42430371,10685
42430375,9816
42445230,9177
42439557,8961
42430056,5443
373880031,7431
42444479,2665
42427996,7226
42428043,2288
42428039,2220
42445950,12538
4597668030,7453
42446275,16087
