,count
42435422,26246
42435420,23346
42427805,23908
42438547,23418
42434807,25476
42439842,24243
42430277,23731
42429874,23904
7372860100,22470
42428201,15503
42445867,15825
42439440,25989
42429876,3315
4443775465,23538
4557517549,13239
358448394,11554
42437688,12506
5545401594,12757
42427821,7073
42427824,4537
42430603,3599
42430600,3797
42430597,2942
42439840,21685
42427426,20698
42437890,24643
42434270,20691
42439836,21491
42427374,20559
42439834,22342
42429661,21401
42439275,21817
42439830,20752
42439826,20443
42435598,19323
42434268,11873
42443671,11380
42430265,20139
5849918502,20633
42443264,2852
42443263,4733
42431293,4735
42425232,8278
42437654,30785
4461990857,25151
4597668041,22889
42448693,31439
42435660,20279
42435663,30395
5849918504,19992
42435671,20535
42432700,20532
42435675,20736
42435677,23611
42435680,21022
42432589,21071
42435684,18928
42428308,2905
42440001,23965
42430358,10569
42437363,41320
42428287,20898
42430333,29053
42430338,11309
42430342,12143
42430344,12125
42430347,12615
42430350,13453
42430352,10059
5854302557,8809
42430187,15798
42430205,10502
42430217,19579
42430231,22484
42430233,21965
42430235,23270
42430237,30585
42421889,15910
42430241,13388
42430247,11619
42430249,11844
42429374,13427
42430253,22864
42440710,17432
42438784,12763
1692450029,11289
390519635,24225
42439170,24148
42449893,23380
42437283,21106
42446875,18845
42449890,18949
42431459,18846
42431453,1175
42434352,4131
42446849,1428
42429595,1583
3588508439,2109
246858435,10732
42429570,10574
42449613,8602
42431626,9803
42453417,9457
4207143418,10329
42436316,9903
12416643515,632
42436060,1223
42431680,10237
42449991,10199
42429690,10765
42445236,11537
42436486,9882
42438800,10804
42439561,13968
42430063,13119
42450009,12892
42446472,12580
42436919,12093
42450015,13482
42438503,10460
42450025,9478
42439403,9302
42448238,8582
42435514,8520
42450028,7356
42429338,10404
42450030,6620
42445740,6308
42436546,6427
42444817,5137
42450035,4174
42447144,1720
42442889,17560
42448701,26200
42446925,13402
42437881,13696
42430271,22511
42445924,21378
42445926,18955
42438881,20033
42445928,19584
42440453,19051
42445930,23827
42436701,14534
42445936,12129
42445941,11525
42443612,10837
42432825,14654
42445947,10102
42428014,5802
42428013,5936
42428012,7290
42428010,7800
596799891,2035
42427036,2192
42427030,2187
42450634,9165
371188320,8907
406006393,11806
5426969134,11819
370924677,11211
5779545445,9755
42426851,1995
42450814,2130
6176628861,1953
42422899,5947
42449689,2067
42442918,13527
42423020,13762
42434965,9182
42434962,4210
42445382,10157
42445378,24050
42445374,17820
3786901743,24825
561042190,11381
42445365,16126
42437644,29041
42430304,26621
42446971,8528
11337295604,16815
42432444,16611
42446949,8888
42445656,9144
42446945,9810
42446942,8594
42446941,8351
42434954,7919
42446935,11284
42446934,13942
42446933,14184
8482948064,9948
42436751,9988
42446270,9894
42446932,9601
42429890,9166
2302133933,7900
42456555,19483
42436700,10105
42430367,11836
42430371,10867
42430375,9811
42446275,16396
42436753,15437
42445413,15454
42442902,7942
42445417,6789
42436511,11320
42445961,10063
596775985,4068
42459114,7497
42447030,4199
42449982,11200
42429980,11088
