,count
42439440,26166
42435422,25759
42435420,23088
42427805,23570
42438547,23022
42434807,25015
42439842,23816
42430277,24304
42429874,23291
42429876,3473
42435660,22147
42435663,32507
5849918504,21102
42435671,21609
42432700,21614
42435675,21863
42435677,24512
42435680,22012
42432589,21796
42435684,19827
42428308,3345
42440001,24541
42430358,11124
42432679,1915
42429507,774
2824895141,1063
42444414,2432
42453902,3485
42429844,4085
42454798,4453
42427251,4158
42440350,4779
42440270,6069
42444271,5899
42433229,5938
7372860100,21766
42428201,15512
42445867,15808
42439840,21220
42427426,20075
42437890,23897
42430271,22969
42437881,13352
42437363,42436
42428287,22031
42430333,31534
42430338,12399
42430342,13133
42430344,13021
42430347,13411
42430350,14116
42430352,10657
42427369,10648
42454378,11345
42429657,13844
42439272,12670
42449333,7323
42431490,7280
42440710,17730
42438784,13131
42428493,25325
42428491,16771
42428489,23178
42428483,14574
42428480,15090
4461990857,24936
42445924,21833
42445926,19335
42438881,20364
42445928,19711
42440453,19058
42445930,24131
42436701,14524
42436700,10634
42430367,12067
42430371,11125
42430375,9931
42446971,8022
11337295604,16619
42432444,16175
42446949,8194
42445656,8492
42446945,9289
42446942,8353
42446941,7888
42434954,7566
42445374,17630
42446935,11060
42446934,13803
42446933,14033
8482948064,9887
42436751,9780
42446270,9895
42446932,9531
42429890,9257
2302133933,7881
42456555,20199
42429690,11311
42445236,12176
42436486,10648
42438800,11793
42439561,15182
42430063,14372
42450009,14271
42446472,14125
42436919,13042
42450015,14192
42438503,11138
42450025,10149
42439403,10048
42448238,9080
42435514,8889
42450028,7661
42429338,10539
42450030,6850
42445740,6640
42436546,6514
42444817,5135
42450035,4189
42448735,3999
42450037,3624
42444500,2658
42434172,2324
42446849,1371
42429595,1520
3588508439,1990
246858435,10561
42429570,9997
42449613,8091
42431626,9439
42453417,9056
4207143418,10128
42436316,9764
12416643515,511
42436060,1152
42454010,5475
42445667,5087
12154055788,4704
12840833852,2701
42455929,6485
42442937,16599
11337295608,27386
42449947,18675
12463559806,18437
42444051,18877
42434087,18636
42449954,17161
42448813,16455
42438891,16939
42449956,16368
42440463,17733
42449961,18999
42436707,17550
42428007,7623
42428005,7878
42445247,14038
42443009,6073
42445232,5103
42429688,3839
42447076,3295
42431678,3618
42435657,20394
42443528,9421
42449985,12649
5542680310,10729
42447235,11759
42437436,10880
42431680,11008
42449991,10750
4321748237,9999
5854302557,8384
42430187,15287
42430205,10145
42430217,19192
42430231,22147
42430233,21581
42430235,22904
42430237,30104
42421889,15625
42430241,12898
42430247,11416
42430249,11880
42429374,13667
42430253,23268
42436575,2234
9140654137,9135
100522479,8462
3639382767,3752
3639382768,3660
561042195,11517
42445651,10710
42445914,10146
42432438,10323
42445916,27250
42437358,28516
42456568,25539
4597668044,13633
4597668033,5434
4597668043,6161
4597668030,7131
4597668031,6891
4597668032,5931
4597668042,5258
42440918,9420
4207143421,10142
42436024,9393
42445174,9358
9611529611,9688
42440854,10679
42442294,10684
12162502083,20556
9607729579,15045
42453442,13939
591454081,13936
42452008,14326
42436903,14743
42453457,14649
42452613,14613
42453468,14614
42449098,14634
42440946,14583
42453472,13276
42439099,13395
246649429,16298
11027819091,15530
3874650232,6033
246648219,12469
42445766,13935
42449341,5830
42439286,7669
42429664,5771
42454381,6600
42427390,6711
42443676,5977
42434285,5959
42437914,7681
42427483,5631
42453630,7895
42453624,9984
42428212,1812
42448379,15869
42443615,11100
42432856,11901
8133385388,10450
42449971,11683
4288677093,13904
6177439759,12295
42436519,13732
42449982,11286
42429980,11119
42431656,11151
42442891,12475
42436590,11510
42442889,18107
42440330,11708
1692450029,11687
42439178,8383
13205862052,7631
13205862054,9687
42437289,15833
42439323,15422
42446889,14854
42428014,6274
42428013,6361
42428012,7721
42428010,8164
596799891,2091
42427036,2326
42427030,2325
42450634,9438
371188320,9182
406006393,12114
5426969134,12126
370924677,11399
5779545445,9976
42426851,2093
42450814,2309
6176628861,2077
42422899,6470
42449689,2137
42442918,13948
42423020,14159
42434965,9502
42434962,4246
42445382,10222
42445378,25292
3786901743,25377
561042190,11099
42445365,16484
42437644,28496
42430304,28013
42437654,30758
42435642,22413
42435644,27007
42430308,23268
42430311,24052
42430314,26804
42430317,22439
42430320,22505
42430324,31234
42430329,21566
561042194,7074
561042192,5847
42445909,6925
42443950,22245
42428264,5321
42439960,26522
42439955,24531
42439952,24121
42432451,22740
42432458,2930
42432464,10814
42442935,10805
42442933,10970
42442931,12646
5131026388,11735
42442913,6647
42442910,7172
42442906,7265
42442902,8463
42445417,7335
42429694,14544
42436492,13138
42438805,13053
42439567,11812
42430075,9890
42454701,9617
42446478,9352
42436922,9154
42456060,12190
42438509,7826
42452956,6805
42439409,6366
42448254,5734
42435518,5312
42456066,4941
42429342,7022
42429340,6485
42429334,6861
42445917,20437
42445920,20120
42444043,24596
42434074,23319
42430282,20432
42428223,2794
42438544,20341
42445888,4934
42444954,10761
4557517549,12800
358448394,11217
42437688,12156
5545401594,12433
42438672,10848
42444933,11290
42444928,13439
42452353,11664
42430356,11102
42430361,10493
42428305,3394
42439996,26023
42439406,5135
42436477,10794
42438791,11983
42439556,11466
42430052,9748
42446013,10124
42446016,10803
42436913,10472
42446021,13715
42438487,8006
42446026,7444
42439392,7355
42446031,7090
42435499,9226
42446036,8048
42429324,10034
42446041,6026
42445733,5925
42436539,5810
42444810,5094
42446066,5276
42446070,4960
42446072,5522
3788379684,1120
13294718043,1238
13324038870,1313
4142105822,1996
12417264049,3407
42436353,1738
42436355,3779
42436359,2966
42436364,4966
42436369,4981
42436371,11955
42436374,2714
42436377,2213
42436381,2283
42436384,2816
42436390,1967
42440153,9346
42445230,8603
42436481,7723
42438795,9128
42439557,8711
42430056,5283
42454691,5268
42446461,6932
42436914,6555
42459137,9851
42438490,6365
42452954,6094
42439395,6003
42448216,5877
42435504,6180
42458766,5472
42429330,10054
596776164,9046
42444487,5364
42434166,5108
42446086,9081
42428858,689
42421857,833
1506591534,665
42428844,608
1506591536,749
6223571521,641
6223571523,652
470209120,898
42428833,974
42428814,1043
42428807,1097
42428799,1126
42428790,1205
42428782,1856
3579432156,3075
42435645,19479
42435646,17526
42435650,19962
42433620,18178
42435654,18828
42447169,792
42447166,4403
42434169,1075
42444495,2005
4163883691,2947
42447149,1841
42447144,1854
42444814,2384
42436544,3632
42445738,3386
42443042,2505
42443040,2479
42443037,3633
42435516,4488
42443032,4333
42436754,6280
42442898,7801
42442895,7786
42429900,7812
390519635,24580
42439170,24764
42449893,23995
42437283,21627
42446875,19299
42449890,19628
42431459,19400
42440729,22223
42436941,20017
42446533,18929
42449886,14012
42453104,14244
42446466,5146
596776052,3530
42448203,1890
42436308,1040
42434072,10842
42453187,5769
42445390,11255
42445392,10888
4412043541,5316
370912817,13077
42423774,14092
42426865,14018
370898427,6120
42423549,6117
42423039,4499
42450820,4486
42423296,3541
370888100,3522
370888101,293
42434832,277
42436971,275
42438531,525
588455697,214
42440449,273
42443928,214
42434268,11306
42443671,11098
42430263,20746
42439834,21884
42429661,20920
42439275,21443
42439830,20458
42439826,20108
42439823,31303
42429375,21201
42435687,18911
42435702,20104
42428312,6221
12991873791,17741
42440009,27627
42430363,15386
42430378,8422
42430384,15902
42436753,16427
42445413,16663
42449926,15640
42449314,16222
42449928,15846
42434959,15026
42449932,15495
42449685,15054
42449938,16306
42445661,14032
11337295601,13901
42431508,1359
42431505,1868
12162436970,5301
42431151,3502
4557517555,5197
4557517554,13559
42454325,13784
42454328,11829
42436537,1619
42445731,1613
42454189,1679
42429314,2510
42449187,3309
42435497,4355
42439389,1660
42445936,12006
42445941,11314
42443612,10492
42432825,14154
42445947,10005
42445950,12312
42445953,11406
4347534783,9566
4347534767,10283
42427764,3964
42436340,376
11659009136,354
42440847,1854
42436083,1862
42440850,1403
42428303,4611
42445020,11519
42452365,9090
42430691,5091
42430688,3690
42430685,7743
42430680,3634
42430677,3711
7280430895,3541
42430673,4252
42430669,3493
42430664,3360
593839894,3169
42430651,3199
42430394,18202
42423674,18019
4347550074,12731
4347550071,17041
4347550065,17082
42421969,7935
5706568625,8962
42435253,8939
42435257,9195
7802856365,11198
7802856352,10890
7802856341,8903
7802856349,8705
7802856372,8866
7802856356,8882
42435272,8592
42437384,4630
42440743,18703
42431470,15022
42455887,15067
42439181,16286
42451787,15239
387184869,15126
42448707,21737
42436598,5610
42455897,10066
42429918,5335
42446293,5077
1632878994,4706
42436756,4779
42430269,19544
596776103,1980
596776115,1919
596776132,3956
596776120,5003
596776074,4413
596776127,4432
247223720,5089
42457788,5080
42455662,9004
42431649,6632
42429970,6842
42456683,6820
42445961,10140
42446977,7261
42443388,4285
42443381,4164
42443373,2496
42436985,3368
42435323,7116
42435319,7061
42435317,7117
42435316,7387
42431447,7681
42421993,7353
7106818627,7648
7106818623,7902
7106818626,12160
42424851,8488
42421800,8784
42437663,13375
42434427,3927
42437670,8207
3270031002,3409
42430633,5448
13205862056,8957
42446879,615
42440326,21718
42448701,26525
42446925,13208
42448693,32123
42436578,20152
42429888,20621
42454522,21078
42446266,21602
42436748,21914
42445409,21443
42445896,11694
42451674,20584
42428232,2896
42430292,22269
42445885,4350
42456049,15653
42429986,15454
42431661,15249
42455675,17211
42427975,8735
42427979,7604
42427985,7815
42427991,8229
1733612450,1112
42453575,1139
42443264,3299
42443268,3452
42434165,1151
42444485,1161
42452809,1216
42448726,1217
42435714,16973
42445037,9615
42455643,7756
42430745,4168
42430742,2488
42430739,4257
42428029,4112
42428032,3787
42428034,3092
42428037,3903
42432818,12400
42430390,11957
42421941,1319
42421960,1469
42427956,1328
42437536,2188
42448578,1682
42429840,1992
42434420,797
42422053,1238
42448583,1365
6262915547,258
42440343,2497
42440282,512
1538237248,746
42448593,813
42449683,20401
42453986,21740
42445653,21010
561042197,13110
561042199,5816
100522741,9855
100522728,7149
42448811,6955
42438886,7391
42459098,5837
42446991,5866
42436586,16244
4138911201,14716
42429896,16279
42449918,16636
42446275,17404
42447237,15571
42437451,14908
42431684,14581
42455695,14228
42443513,12417
42453601,6821
42437339,7433
42455867,8312
42453166,6687
42444827,8103
42434205,9440
4012724171,9427
42449021,9192
42430903,15885
42454994,15476
42446547,15349
42436943,15356
42438802,6357
4443775465,23186
42427821,6905
42427824,4170
42430603,3273
42430600,3452
42430597,2690
42445018,10446
42432703,11382
42443561,10660
42445011,11095
42437368,15823
42445001,10220
42444991,10092
42444985,10178
42433625,9924
4207913309,9583
4491359481,10600
42444964,10459
42444960,12301
596775882,9262
42440456,8950
42452875,17540
42436703,13134
42456611,11327
42448338,10606
42443613,10175
42432834,11944
596775935,10457
596775941,7167
42443975,9481
42433644,7707
42423885,7636
42446504,7634
42455751,8202
42437371,11280
42454433,10114
42443563,9711
42432706,10999
42455761,6800
42443534,6769
42443532,8228
42422026,1486
246858433,7152
42422028,4384
42453395,5054
42453398,6528
5812723035,1428
42436330,1626
42442977,7012
42428003,8200
42434948,4873
42445908,5955
561042193,4997
42458333,19744
561042188,6807
4597668020,11811
42449308,23753
42435705,15624
1815133244,7619
42449550,6289
42431681,5238
42427477,11040
42437909,13248
42434279,10625
42443674,11627
42427386,11200
42444916,11648
42429663,11102
42439280,13534
42444909,12746
4557517552,10900
387180916,10932
42436439,24425
42435596,37092
42435707,14462
42435624,22007
42445025,8024
42440163,7275
42432594,10072
42435746,1830
42435743,1850
42435736,2081
3247295579,1316
12534082093,2922
12534082089,2964
42435359,3575
42442569,4222
42447084,3276
42443020,4853
42435629,19687
42430295,23303
6223969260,6957
42443680,22876
42445899,13980
3786901738,21123
42434951,17958
42443046,1876
42443044,2578
42436549,2632
42447136,3234
596776095,4298
596776083,4760
596776089,7106
42447105,6785
1825841742,10498
1825841655,12360
1825841704,23662
1825841743,23596
1825841693,12811
5706568771,8643
42436511,11305
42435766,1175
42435763,1474
7620445877,597
42432889,867
2141026506,3824
3099327952,1986
42429971,10199
42436510,8153
42430274,20993
42436582,7773
4597668041,22698
4597668040,18430
4597668039,18226
4597668028,18089
4597668038,16682
4597668026,22777
4597668036,23544
4597668023,18430
4597668035,18282
42429373,10239
42439070,8692
42449067,8467
42430857,10171
42421877,12658
42437949,11119
42433354,5922
3584752508,6222
42433281,10673
1692433942,9826
1692433941,11150
1692433940,13502
1692433939,5615
1692433938,12916
42429504,558
42440935,3180
1241742743,3350
42421982,2593
7050687060,2841
42442410,2535
42442415,3216
42439464,3963
42429999,2752
42442417,2469
1733614298,2404
42442422,2718
9177424867,6659
9177424868,2083
1061531491,8541
6207264908,9370
42432564,6725
42442445,4280
42442451,4312
42442459,4544
42438862,4402
42445649,21475
42428272,941
42428268,775
42436516,6949
42447020,7112
42447009,6458
42424089,6307
42442961,4990
42432861,6637
42442960,9318
42442959,6772
42442957,7409
42436710,9097
42442955,11088
42440465,11741
42442952,10384
42438894,11586
42442949,11158
42442948,11109
42434090,12565
42442947,11088
42447132,2500
42443048,2365
42430279,22147
42434358,4829
42434357,5307
42434355,4629
42437021,20665
42446994,10082
42452882,4356
42425232,8414
42443366,2846
42443363,2650
4016646206,2587
42437433,3570
42437428,7635
596775973,5088
42437425,11068
42431674,10704
42445994,10676
42429682,10681
42445227,11371
42429659,23182
42427423,19486
42428206,8849
42445534,15108
42439236,10031
42445543,14731
42445548,8988
595407648,12179
42430872,19833
42446528,22689
42436939,17936
42440721,20857
42431452,17333
42437018,17533
42430259,23571
42427371,19372
42436109,10507
42448568,11879
42445769,18276
246580982,18493
42439295,19538
11027912164,19663
4872623863,19377
42427393,20547
42443677,20524
246579597,20434
12161232243,22469
42427494,22198
42445314,22213
42434827,22667
42438684,22635
12161224637,23803
42437699,23939
42437678,26126
7073877295,25732
6575692624,25727
42448996,26222
42453545,25764
62915549,26249
62915525,25472
62915509,25532
62915527,29280
11017187937,29556
62915531,30677
12154598283,30720
11017187936,30614
62915536,31414
11017186437,31312
12153915856,32477
11017186435,32177
9140954071,31945
13099951760,31604
61275380,34244
61273004,33074
61271722,34082
61269797,34700
42423070,34702
42422399,29104
42458435,29105
587812578,14667
42431099,15492
42431102,10881
42431104,9544
42428720,7561
1061531727,6702
1061531730,6588
1061531596,6972
42442552,8452
42442555,5949
42442557,5044
42442559,5017
42442561,5038
42437918,4900
42421741,5052
42432756,4410
42442565,4153
42442567,3836
42437445,5265
42442983,5877
5550244689,1211
5542680312,1135
42447069,4088
42447060,5416
42431654,4224
42429976,4691
42443052,2016
42443050,2059
42455963,4111
42448390,4001
42443618,6867
2711029280,6214
42423564,1454
6680686985,1981
9177540204,948
588546891,3015
588546798,1412
588546882,1385
246923513,1492
4207802391,2129
246858654,2307
246901366,616
42433712,338
13205862058,8751
13205862060,11696
13205862062,8897
13205862064,8586
13205862066,8991
42430898,16156
42442857,9972
42434142,10983
42434201,11706
42442851,9468
42444829,3455
42444832,1527
42430265,20439
42447030,4445
42447007,4588
42432847,6132
42443614,4128
4862610026,4399
42446998,4817
9168918373,19821
587812665,19821
42424937,18513
42425088,7807
7616688918,7807
7732571915,3479
42438066,3472
42428863,3623
561035343,3703
42453717,3431
42442584,4053
7598970693,3029
42440144,2568
42432929,3091
42432931,1468
42432932,1582
42432933,1467
42435814,1224
1905863520,1536
42435825,1457
42429538,1099
42434113,849
42435837,791
42435844,1928
42439887,1967
2141026532,2454
3099327955,2329
42453258,2357
42434361,256
42445587,243
42435957,180
42435710,14120
42431556,13505
42435716,12342
42435275,8725
42432556,7956
42442850,8480
1773121034,19680
4015190382,19867
42439249,18236
42445558,13695
42437280,20141
42456543,19675
42439203,21529
12181309686,21759
42440323,22338
42445903,9128
1061531695,2771
1061531803,2254
1061531454,5015
42428653,8923
42431019,6593
42421776,4656
42431024,4824
42421985,2903
42430981,2796
42430983,2913
42430984,2579
42430985,2774
42443346,3996
42440004,22686
42432585,24907
42439994,29628
42439990,28193
42428297,28094
42439984,28544
42439981,28460
42439972,21424
42439968,21850
42439964,22112
42433611,21970
42435333,5843
7801840675,5775
42435336,5609
42435337,5519
42421728,5449
42432736,5215
42432737,1165
42432744,1674
42440459,9313
596775876,9317
596775870,9549
596775867,10655
42432580,9872
42430298,18085
42440469,4532
42436714,5432
6177439750,10291
42436514,8433
246858431,6759
5815234915,3138
588593611,3218
246909454,2647
588593353,2689
587987721,2313
1772136801,1868
1772136810,1766
3914862593,1744
42443263,4763
42431293,4759
42438928,1060
3579432162,1092
3579432161,1021
1504153626,1195
42442578,1116
42442577,1185
42437142,1429
42442575,1638
1506445711,2042
6166969757,2258
42437222,2149
42442571,2341
42433927,4750
2059304025,4747
42443353,5772
42442480,7396
42434160,4687
42438045,4507
42422000,4309
42437052,4002
42442492,2923
1061531603,5237
42428674,6354
42428670,3616
42421809,3724
42428663,4090
42428661,4043
42428657,4114
42421775,3862
42428065,4630
596788016,4764
42439559,7104
272194254,1836
42459493,1742
42442502,2518
42442514,2377
42436990,3266
42442528,2323
42442534,4332
42442542,3761
42433252,2654
42442549,2622
42443403,4397
42434871,1283
1061531447,8678
1061531685,8546
13208007103,13008
6173564360,9007
1061531707,9304
1061531527,8111
1061531787,8087
1061531608,7680
1061531597,7619
1996323622,7113
1061531757,2686
1061531500,2714
1061531634,2886
11655721360,4799
42431008,2300
42427427,18253
42445310,7139
42434821,6045
7037071175,4981
1533280147,3496
42455735,6581
3270031028,102
5165632724,98
42430639,2604
