,count
42444820,3601
42456076,3158
42431654,4185
42442977,7248
42455675,17227
42447237,15612
42437451,15018
42431684,14616
42455695,14498
42429694,14763
42428003,8368
42428005,7792
42428007,7571
42439840,21527
42427426,20481
42437890,24319
42430271,22641
42437881,13559
42445917,20000
42445920,19705
42444043,24246
42449067,8781
42430857,10437
42421877,12953
42421889,15800
42432191,26158
42436856,2634
42443975,9606
42433644,7670
42423885,7586
42446504,7552
42455751,8151
42437371,11227
42454433,10020
42443563,9663
42435645,19496
42444960,12429
7037071175,5028
1533280147,3527
42455735,6647
42452975,7158
9421943093,1335
42430646,3918
3270031028,138
5165632724,126
42446977,7554
42446949,8465
42445656,8719
42446945,9379
42446942,8226
42446941,7955
42434954,7611
42446935,11128
42453902,3321
42429844,3969
42454798,4348
42427251,4020
42440350,4636
42440270,5946
42444271,5755
42433229,5904
42452613,14552
42453468,14560
42449098,14586
42440946,14531
42453472,13168
42439099,13277
246649429,16159
11027819091,15396
3874650232,5779
246648219,12104
42445766,13618
42449341,5522
42439286,7316
42429664,5398
42454381,6258
42427390,6328
42443676,5596
42434285,5571
42437914,7408
42427483,5290
42428029,4047
42428032,3694
42428034,3165
42428037,3837
42435646,17443
42435650,19865
42433620,18144
42435654,18735
42436340,468
11659009136,439
42440847,1964
42436083,1977
42436088,2597
42436093,622
42436097,601
42436100,580
42436109,10742
42436115,1471
42436119,751
42436122,831
42436126,1474
42436129,2074
42436134,1073
42428303,4685
42445020,11773
42452365,9163
42430691,5321
42430688,3905
42430685,7943
42430680,3846
42430677,3962
7280430895,3767
42430673,4436
42430669,3797
42430664,3662
593839894,3423
42430651,3446
42432818,12274
42445247,13809
42436492,12866
42438805,12639
42438802,6401
42446466,4615
42446461,6328
42436914,6153
42459137,9524
42438490,6134
42452954,5763
42439395,5675
42448216,5630
42429971,10284
42431650,10075
42437425,11184
42431674,10689
42445994,10619
42429682,10638
42445227,11316
42436477,10644
42438791,11728
42439556,11175
42430052,9349
42446013,9679
42446016,10133
42436913,9853
42446021,13106
42438487,7303
42446026,6625
42439392,6514
42446031,6390
42448203,1667
42430736,2160
42430722,1946
42430713,2125
42430707,3179
42429659,22960
42429657,13836
42428174,7046
42445011,11382
42437368,16115
42445001,10418
42434434,619
42423836,672
9019680389,572
42454010,4812
42445667,4479
12154055788,4120
12840833852,2054
42455929,5947
42442937,15976
11337295608,26409
13205862054,9647
13205862056,9059
42446879,654
42446875,19103
42437283,21313
42449893,23710
42439170,24436
390519635,24461
42440326,21673
42448701,26470
42446925,13257
42448693,31933
42436578,20086
42456555,20069
42429888,20484
42454522,21092
42446266,21467
42436748,22055
42445409,21508
42456568,25819
4597668044,14031
42445896,12279
42451674,21213
42428232,3046
42430292,21925
42430282,19823
42428223,2735
42438544,20913
42445888,4939
5812723035,1687
42440943,2978
42436146,3974
42436411,4746
6211334202,10778
42435578,5771
42435581,7401
6518638079,6331
4492821528,6393
42431497,6437
42429388,9379
42432214,26150
42452973,20022
42434946,19035
42446701,17223
42443680,23190
42437686,19481
42427786,20542
42434800,21077
4597668041,22684
4597668040,18481
4597668039,18239
4597668028,17987
42439203,21487
42438849,1672
42434360,2246
42434358,4788
42434357,5128
42434355,4588
42434354,1716
42449890,19535
42455963,4134
42448390,4089
42436336,4006
4597668030,7130
42437949,11209
42433354,6078
3584752508,6371
42433298,5511
42433295,824
42433292,826
42428468,8409
42428464,8372
42428460,13490
42445534,14928
1773084402,24073
42431168,17192
42437618,10598
1773084407,15015
42442843,8023
42434072,10725
42434268,11681
42428198,2039
42428192,1861
42431000,2885
42430989,4304
42430985,2891
42430984,2668
42430983,3009
42430981,2902
42421985,3058
42421982,2524
42430295,22881
42430298,17629
42430320,21866
42430324,30587
42430329,20896
42428489,22563
42428483,14214
42428480,14595
42430872,19711
42430886,19088
42449017,21866
42443296,24722
42434140,26996
42434142,11200
42434201,11978
42442851,9724
42444827,8073
42444829,3498
42444832,1602
42453177,1198
596776127,3544
596776095,3695
596776083,4334
596776089,6621
42447105,6488
42443027,8013
42456060,11918
42434270,20381
42439836,21168
42427374,20362
42439834,22253
42429661,21331
42439275,21837
42439830,20769
42436390,2072
42436393,5086
42435343,4050
42435341,4178
42432736,5259
42421728,5522
42435337,5636
42437916,361
42437918,5034
42436754,6235
42442898,7434
42442895,7382
42429900,7406
42442891,12091
42436590,11113
42442889,17657
42440330,11404
1692450029,11468
42439178,8142
13205862052,7617
42430279,21689
42445740,6176
42444817,5099
42450035,4155
42448735,3871
42450037,3471
42444500,2362
42434172,2040
42450044,5052
42449007,1857
42443056,1355
42435514,8838
42450028,7486
42447132,2520
42439567,11445
3786901738,21350
42434951,18173
42458333,19992
42449683,20462
42453986,21866
42445653,21213
561042197,13171
561042199,5671
100522741,9620
42432703,11676
42432706,10927
42428305,3360
42439996,26158
42440153,9213
42437433,3517
42437428,7804
596775973,4615
42438788,4757
7802856341,8992
42455662,8725
42431649,6293
42429970,6499
42456683,6486
42436510,7950
5706568771,8236
42446933,13934
42453624,10327
449581627,8760
42428206,9102
42443671,11251
42430265,20196
42439990,28209
42428297,28164
42439984,28633
42439981,28554
42439972,21451
42439968,21739
42439964,22127
42433611,22006
42436899,610
42436894,2196
42437693,5181
1701844618,4743
42451695,6044
42446668,6206
42453601,6776
42437339,7402
42455867,8280
42453166,6652
42434205,9368
4012724171,9321
42449021,9107
42430903,15685
42454994,15268
42446547,15203
42446552,1807
42446562,1764
42428047,1805
42428045,1530
42427371,19049
42427369,10760
42454378,11358
42440743,18469
42431470,14701
42439323,15077
42446889,14502
42437289,15454
42455887,14753
42439181,15969
42451787,14959
387184869,14817
42448707,21303
42436598,5298
42455897,9758
42429918,4979
42446293,4858
1632878994,4548
42436756,4650
42429375,21482
42429330,9558
596776164,8348
596776132,3176
596776120,4137
596776074,3462
42442542,3779
42433252,2619
42442549,2556
42442557,5099
42442559,5079
42442561,5109
42421741,5159
42432756,4424
42442565,4204
42440710,17669
42429373,10508
42439070,8963
42433281,10773
1692433942,9900
1692433941,11198
1692433940,13461
1692433939,5631
1692433938,13052
42445649,21555
42428272,972
42428183,939
42435705,15633
42435707,14440
42435710,14146
6223969260,7071
42445899,14293
42445733,5457
42436539,5669
42444810,4904
42446066,5008
42446070,4645
42446072,5313
42444487,5149
42434166,4854
42446086,8852
42443347,4194
42428061,3683
42438859,4572
42443346,4216
42443344,4548
42443341,4418
42432558,4495
42443336,5621
42437384,4863
42443332,5060
7802856356,8947
7802856372,8973
7802856349,8759
42431560,5300
42440960,6304
42440966,6871
42450030,6551
42447144,1832
42438506,5982
42438509,7649
12463559806,17695
42444051,18335
42434087,18059
42449954,16654
42448813,16059
42438891,16571
42449956,16063
42440463,17439
42449961,19103
42436707,17663
42449963,16389
6680686184,4473
42443618,6845
2711029280,6249
42456041,5482
42448326,7150
6177439749,6906
42436531,17045
42448568,12081
42445769,18429
246580982,18636
42439295,19717
11027912164,19812
4872623863,19503
42427393,20698
42443677,20636
246579597,20530
12161232243,22613
42427494,22253
42445314,22242
42434827,22712
42438684,22638
12161224637,23810
42437699,23943
42437678,26128
7073877295,25766
6575692624,25762
42448996,26247
42453545,25679
62915549,26185
62915525,25451
62915509,25480
62915527,29204
11017187937,29488
62915531,30615
12154598283,30662
11017187936,30581
62915536,31373
11017186437,31262
12153915856,32451
11017186435,32141
9140954071,31922
13099951760,31570
61275380,34272
61273004,33048
61271722,34070
61269797,34685
42423070,34684
42422399,29141
42458435,29143
587812578,14711
42431099,15595
42431102,10972
42431104,9605
42428720,7533
1061531727,6842
1061531730,6695
1061531596,7111
42442567,3884
42439073,20045
42430828,36323
11062719791,12136
42430824,12251
42430818,11294
42430813,11375
42452598,1355
42431805,6653
42436400,3967
42436135,1052
9019680388,1750
42455761,6777
42443534,6719
42440170,6736
42454042,7775
42446363,6844
42449550,6363
42452006,2298
42454642,1910
42456986,1755
42440527,2835
12162542907,10873
4142073861,10774
246889572,10774
246890279,10369
12410398108,9670
12410398107,10093
246858448,10955
246858449,9468
9168918373,19810
587812665,19811
42424937,18501
42425088,7793
7616688918,7794
7732571915,3466
42438066,3460
42428863,3617
561035343,3688
42453717,3406
42442584,3987
7598970693,3003
42440144,2524
42432929,3063
42432931,1473
42432932,1586
42432933,1488
42435814,1158
1905863520,1453
42435825,1392
42429538,1038
42434113,787
42435837,736
42435844,1857
42439887,1902
2141026532,2424
3099327955,2270
42453258,2305
42434361,241
42445587,230
42435957,177
42430363,15028
42442463,5860
42421772,4760
42442469,4812
42433567,4312
42437305,4331
42421806,3954
42442475,3520
42438672,11042
42432436,12067
42446488,21170
42433604,21575
42445025,8317
42442850,8724
1773121034,19759
4015190382,19936
42439249,18188
42445558,13848
595407648,12057
42453104,14022
42446528,22439
42436939,17984
42440721,21000
42431452,17444
42437018,17587
42437021,20649
42437280,19950
42456543,19726
12181309686,21572
42440323,22143
42445903,9238
1061531504,2348
42428716,3057
42428714,4920
42428711,3385
42428709,3262
42428705,2542
42428701,2574
42428695,2769
42428689,2728
42422006,2873
42428682,2927
42428678,3047
42428674,6598
42428670,3710
42421809,3852
42428663,4150
42428661,4153
42428657,4248
42431024,5372
42428220,2342
42454006,945
42440397,8564
42427915,12183
42430704,1766
42443532,8440
42443373,2260
42436985,3023
42443366,2538
42443363,2242
4016646206,2298
42437050,3137
42421996,2503
42438043,2544
42434158,2648
42443353,5894
42443349,3006
42421803,3408
42437300,3348
42430378,8320
42430384,16165
42428024,4675
42428027,4503
3718672443,6710
9170816532,6409
13208007103,13460
42428588,11507
42428579,9332
42428575,10733
42421972,11240
42428570,12880
1825841655,12586
1825841704,23882
1825841743,23817
1825841693,12953
4347550074,13141
42423674,18445
42430394,18641
42439409,6264
42435499,8828
42446036,7679
42429324,9730
42446041,5504
42446814,389
42446825,841
5812723033,835
42449600,3304
596775882,9072
42448811,7027
42438886,7542
42459098,5978
42440456,8879
42452875,17789
42436703,13297
42456611,11505
42448338,10741
